#Parameters = {lb=3; la=3; l2=1.9; ct=0.12; w=0.4; Yst=0.3; l1=2; st=0.4; L=30; phi=0; theta=0; alpha=0}
#"Frequency / GHz"	"RCS (Cartesian) (0 0 30)(Abs) [pw] (7) [Magnitude]"
#----------------------------------------------------------------------
1.0000000000000	-62.253865253776
1.0090000000000	-62.174989216848
1.0180000000000	-62.341605942910
1.0270000000000	-62.651407419760
1.0360000000000	-62.924112827700
1.0450000000000	-62.953433431626
1.0540000000000	-62.645305757038
1.0630000000000	-62.101826312865
1.0720000000000	-61.524853554491
1.0810000000000	-61.081169621722
1.0900000000000	-60.857125707814
1.0990000000000	-60.866541402521
1.1080000000000	-61.058456712170
1.1170000000000	-61.315075745077
1.1260000000000	-61.467265432136
1.1350000000000	-61.370061351509
1.1440000000000	-61.008653675019
1.1530000000000	-60.508754449086
1.1620000000000	-60.036190194083
1.1710000000000	-59.711248647545
1.1800000000000	-59.586893680991
1.1890000000000	-59.653828372233
1.1980000000000	-59.843507108817
1.2070000000000	-60.032697840339
1.2160000000000	-60.077719721828
1.2250000000000	-59.893413657428
1.2340000000000	-59.516130785067
1.2430000000000	-59.072501131278
1.2520000000000	-58.694670059312
1.2610000000000	-58.467444660870
1.2700000000000	-58.417587957473
1.2790000000000	-58.516630486110
1.2880000000000	-58.683942596596
1.2970000000000	-58.800979537423
1.3060000000000	-58.757598789430
1.3150000000000	-58.519136479960
1.3240000000000	-58.150561350462
1.3330000000000	-57.768091796104
1.3420000000000	-57.474386357081
1.3510000000000	-57.326286303762
1.3600000000000	-57.329331190690
1.3690000000000	-57.439856513578
1.3780000000000	-57.571459533766
1.3870000000000	-57.618800376894
1.3960000000000	-57.507398937703
1.4050000000000	-57.240786061853
1.4140000000000	-56.896479678870
1.4230000000000	-56.575394307691
1.4320000000000	-56.354927733775
1.4410000000000	-56.269274297406
1.4500000000000	-56.306683297670
1.4590000000000	-56.412552346031
1.4680000000000	-56.501085359079
1.4770000000000	-56.486032298856
1.4860000000000	-56.326162865165
1.4950000000000	-56.051065231676
1.5040000000000	-55.740268447213
1.5130000000000	-55.477905080406
1.5220000000000	-55.319822712554
1.5310000000000	-55.281567030405
1.5400000000000	-55.337616997215
1.5490000000000	-55.426918707711
1.5580000000000	-55.469999435153
1.5670000000000	-55.402643551808
1.5760000000000	-55.211701156671
1.5850000000000	-54.942444222536
1.5940000000000	-54.669979170789
1.6030000000000	-54.461875216417
1.6120000000000	-54.355565940579
1.6210000000000	-54.351203354957
1.6300000000000	-54.412913520011
1.6390000000000	-54.477672530703
1.6480000000000	-54.476810588613
1.6570000000000	-54.368419325562
1.6660000000000	-54.161084605364
1.6750000000000	-53.907673436146
1.6840000000000	-53.675246116214
1.6930000000000	-53.515809225372
1.7020000000000	-53.451054977661
1.7110000000000	-53.468620044037
1.7200000000000	-53.525688669066
1.7290000000000	-53.561424837566
1.7380000000000	-53.520885234606
1.7470000000000	-53.382695147397
1.7560000000000	-53.170809795634
